"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"styczeń;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"styczeń;karp świeży - za 1kg;cena;2015;[zł]";"styczeń;ser dojrzewający - za 1kg;cena;2015;[zł]";"styczeń;cukier biały kryształ - za 1kg;cena;2015;[zł]";"styczeń;sok jabłkowy - za 1l;cena;2015;[zł]";"styczeń;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"styczeń;mydło toaletowe - za 100g;cena;2015;[zł]";"styczeń;pasta do zębów - za 100 ml;cena;2015;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"luty;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"luty;karp świeży - za 1kg;cena;2015;[zł]";"luty;ser dojrzewający - za 1kg;cena;2015;[zł]";"luty;cukier biały kryształ - za 1kg;cena;2015;[zł]";"luty;sok jabłkowy - za 1l;cena;2015;[zł]";"luty;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"luty;mydło toaletowe - za 100g;cena;2015;[zł]";"luty;pasta do zębów - za 100 ml;cena;2015;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"marzec;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"marzec;karp świeży - za 1kg;cena;2015;[zł]";"marzec;ser dojrzewający - za 1kg;cena;2015;[zł]";"marzec;cukier biały kryształ - za 1kg;cena;2015;[zł]";"marzec;sok jabłkowy - za 1l;cena;2015;[zł]";"marzec;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"marzec;mydło toaletowe - za 100g;cena;2015;[zł]";"marzec;pasta do zębów - za 100 ml;cena;2015;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"kwiecień;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"kwiecień;karp świeży - za 1kg;cena;2015;[zł]";"kwiecień;ser dojrzewający - za 1kg;cena;2015;[zł]";"kwiecień;cukier biały kryształ - za 1kg;cena;2015;[zł]";"kwiecień;sok jabłkowy - za 1l;cena;2015;[zł]";"kwiecień;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"kwiecień;mydło toaletowe - za 100g;cena;2015;[zł]";"kwiecień;pasta do zębów - za 100 ml;cena;2015;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"maj;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"maj;karp świeży - za 1kg;cena;2015;[zł]";"maj;ser dojrzewający - za 1kg;cena;2015;[zł]";"maj;cukier biały kryształ - za 1kg;cena;2015;[zł]";"maj;sok jabłkowy - za 1l;cena;2015;[zł]";"maj;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"maj;mydło toaletowe - za 100g;cena;2015;[zł]";"maj;pasta do zębów - za 100 ml;cena;2015;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"czerwiec;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"czerwiec;karp świeży - za 1kg;cena;2015;[zł]";"czerwiec;ser dojrzewający - za 1kg;cena;2015;[zł]";"czerwiec;cukier biały kryształ - za 1kg;cena;2015;[zł]";"czerwiec;sok jabłkowy - za 1l;cena;2015;[zł]";"czerwiec;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"czerwiec;mydło toaletowe - za 100g;cena;2015;[zł]";"czerwiec;pasta do zębów - za 100 ml;cena;2015;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"lipiec;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"lipiec;karp świeży - za 1kg;cena;2015;[zł]";"lipiec;ser dojrzewający - za 1kg;cena;2015;[zł]";"lipiec;cukier biały kryształ - za 1kg;cena;2015;[zł]";"lipiec;sok jabłkowy - za 1l;cena;2015;[zł]";"lipiec;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"lipiec;mydło toaletowe - za 100g;cena;2015;[zł]";"lipiec;pasta do zębów - za 100 ml;cena;2015;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"sierpień;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"sierpień;karp świeży - za 1kg;cena;2015;[zł]";"sierpień;ser dojrzewający - za 1kg;cena;2015;[zł]";"sierpień;cukier biały kryształ - za 1kg;cena;2015;[zł]";"sierpień;sok jabłkowy - za 1l;cena;2015;[zł]";"sierpień;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"sierpień;mydło toaletowe - za 100g;cena;2015;[zł]";"sierpień;pasta do zębów - za 100 ml;cena;2015;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"wrzesień;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"wrzesień;karp świeży - za 1kg;cena;2015;[zł]";"wrzesień;ser dojrzewający - za 1kg;cena;2015;[zł]";"wrzesień;cukier biały kryształ - za 1kg;cena;2015;[zł]";"wrzesień;sok jabłkowy - za 1l;cena;2015;[zł]";"wrzesień;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"wrzesień;mydło toaletowe - za 100g;cena;2015;[zł]";"wrzesień;pasta do zębów - za 100 ml;cena;2015;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"październik;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"październik;karp świeży - za 1kg;cena;2015;[zł]";"październik;ser dojrzewający - za 1kg;cena;2015;[zł]";"październik;cukier biały kryształ - za 1kg;cena;2015;[zł]";"październik;sok jabłkowy - za 1l;cena;2015;[zł]";"październik;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"październik;mydło toaletowe - za 100g;cena;2015;[zł]";"październik;pasta do zębów - za 100 ml;cena;2015;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"listopad;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"listopad;karp świeży - za 1kg;cena;2015;[zł]";"listopad;ser dojrzewający - za 1kg;cena;2015;[zł]";"listopad;cukier biały kryształ - za 1kg;cena;2015;[zł]";"listopad;sok jabłkowy - za 1l;cena;2015;[zł]";"listopad;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"listopad;mydło toaletowe - za 100g;cena;2015;[zł]";"listopad;pasta do zębów - za 100 ml;cena;2015;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"grudzień;filety z morszczuka mrożone - za 1kg;cena;2015;[zł]";"grudzień;karp świeży - za 1kg;cena;2015;[zł]";"grudzień;ser dojrzewający - za 1kg;cena;2015;[zł]";"grudzień;cukier biały kryształ - za 1kg;cena;2015;[zł]";"grudzień;sok jabłkowy - za 1l;cena;2015;[zł]";"grudzień;piwo jasne pełne, butelkowane - za 0,5l;cena;2015;[zł]";"grudzień;mydło toaletowe - za 100g;cena;2015;[zł]";"grudzień;pasta do zębów - za 100 ml;cena;2015;[zł]";
0000000;"POLSKA";32,58;21,96;13,55;20,29;2,04;3,68;2,85;1,99;8,29;32,45;21,79;13,99;19,86;2,06;3,75;2,82;1,98;8,16;32,28;22,08;14,26;19,93;2,10;3,73;2,80;1,94;8,17;32,51;22,26;14,24;19,76;2,12;3,72;2,80;1,98;7,85;32,47;22,41;0,00;19,33;2,13;3,74;2,78;1,96;8,21;32,32;22,63;0,00;19,03;2,10;3,66;2,79;1,97;8,20;32,22;22,60;0,00;18,95;2,19;3,70;2,79;1,95;8,07;32,10;22,80;0,00;18,43;2,29;3,67;2,83;1,93;7,92;32,03;22,81;0,00;18,41;2,39;3,63;2,80;1,95;8,09;31,84;23,04;14,94;18,33;2,43;3,67;2,81;1,96;8,10;32,15;23,16;14,98;18,26;2,44;3,67;2,80;1,92;8,03;32,23;23,43;13,32;17,98;2,44;3,63;2,80;1,96;7,73;
0200000;"DOLNOŚLĄSKIE";34,83;24,29;14,60;21,70;2,17;3,85;2,76;2,00;8,62;34,69;24,36;15,63;20,82;2,20;3,89;2,73;1,99;8,30;35,13;24,41;16,95;20,99;2,21;3,91;2,73;1,94;8,38;35,28;24,72;16,95;20,58;2,20;3,91;2,73;2,01;8,41;35,04;24,67;0,00;20,28;2,22;3,82;2,74;1,98;8,59;34,86;24,84;0,00;20,31;2,19;3,92;2,70;1,99;8,38;34,68;25,10;0,00;20,10;2,27;3,86;2,73;1,99;8,41;34,66;25,17;0,00;19,87;2,33;3,71;2,76;1,95;8,12;34,19;25,64;0,00;19,65;2,40;3,71;2,76;1,99;8,48;34,01;25,99;25,90;19,02;2,49;3,68;2,74;2,01;8,55;34,63;26,10;17,65;19,38;2,50;3,76;2,76;1,94;8,28;34,42;25,95;13,22;18,45;2,46;3,75;2,68;2,03;8,36;
0400000;"KUJAWSKO-POMORSKIE";35,59;20,79;13,98;21,11;1,91;3,33;2,84;1,93;8,48;35,94;21,48;14,42;20,80;1,94;3,39;2,82;1,93;8,53;36,01;21,10;14,63;20,73;1,99;3,30;2,82;1,88;8,51;35,55;21,52;14,67;20,64;1,98;3,47;2,82;1,97;8,27;35,24;21,98;0,00;20,93;2,04;3,46;2,78;1,91;8,97;35,94;22,27;0,00;20,45;2,02;3,48;2,82;1,90;8,47;36,40;22,13;0,00;20,53;2,11;3,48;2,76;1,92;8,40;34,94;22,37;0,00;20,61;2,20;3,49;2,80;1,86;8,58;34,60;22,15;0,00;20,15;2,35;3,35;2,78;1,91;7,99;34,41;22,04;14,71;20,15;2,42;3,34;2,78;1,93;8,93;35,10;22,33;14,69;20,23;2,44;3,48;2,82;1,93;8,47;35,27;22,34;13,98;19,73;2,43;3,40;2,84;2,00;8,09;
0600000;"LUBELSKIE";29,71;21,94;11,90;21,47;1,97;3,64;2,90;2,12;8,40;30,03;22,18;13,24;20,95;2,01;3,70;2,85;2,12;8,71;29,90;23,02;13,85;20,71;2,04;3,58;2,76;2,13;8,87;30,18;23,25;14,16;20,71;2,07;3,60;2,81;2,13;8,37;30,21;23,37;0,00;19,48;2,04;3,73;2,85;2,11;8,46;30,35;23,63;0,00;18,92;2,11;3,25;2,90;2,10;8,80;29,41;23,56;0,00;19,17;2,13;3,51;2,92;2,10;8,18;28,84;23,89;0,00;17,53;2,26;3,47;2,96;1,99;8,50;28,88;23,83;0,00;17,86;2,34;3,61;2,89;2,02;8,35;29,81;23,80;13,30;18,92;2,35;3,65;2,87;2,00;8,21;29,90;23,93;13,20;17,55;2,44;3,65;2,85;1,96;7,94;29,78;24,38;11,79;17,13;2,37;3,58;2,88;1,95;8,00;
0800000;"LUBUSKIE";35,03;22,89;12,50;21,91;2,05;3,56;2,82;1,98;8,49;34,06;22,47;13,25;22,10;2,12;3,65;2,87;1,98;8,10;34,06;23,50;13,90;21,22;2,15;3,61;2,79;1,95;8,70;34,06;23,50;13,16;21,66;2,21;3,64;2,79;1,95;8,39;34,06;23,50;0,00;22,07;2,19;3,69;2,77;1,95;8,60;34,16;23,50;0,00;22,45;2,08;3,55;2,85;1,95;7,82;34,13;23,50;0,00;20,24;2,22;3,63;2,84;1,95;7,62;33,83;23,45;0,00;19,82;2,35;3,70;2,84;1,91;6,93;33,37;23,45;0,00;20,30;2,40;3,73;2,77;1,95;8,00;32,48;23,85;14,33;20,04;2,42;3,61;2,83;1,95;7,56;33,21;24,07;12,75;20,54;2,42;3,59;2,90;1,91;7,77;33,69;24,18;12,92;20,42;2,37;3,55;2,82;1,95;8,12;
1000000;"ŁÓDZKIE";29,98;22,00;13,89;19,32;1,98;3,89;2,84;1,99;7,81;29,83;21,78;13,86;18,80;1,98;3,87;2,71;1,98;8,03;29,69;22,26;14,65;18,24;2,02;3,99;2,79;1,90;7,70;30,05;22,03;14,23;18,11;2,02;3,79;2,73;1,98;7,36;29,26;21,90;0,00;18,24;2,05;3,81;2,79;1,96;7,37;29,94;22,25;0,00;17,77;2,03;3,79;2,77;1,97;7,93;30,05;22,18;0,00;17,52;2,15;3,94;2,71;1,95;7,82;30,40;22,05;0,00;17,18;2,25;3,83;2,86;1,94;7,82;29,63;21,64;0,00;17,13;2,35;3,74;2,86;1,97;7,56;29,88;21,83;14,98;16,78;2,40;3,72;2,86;1,97;8,12;30,82;21,55;14,84;16,68;2,37;3,89;2,78;1,84;8,10;31,17;21,98;13,37;15,94;2,40;3,75;2,84;1,92;7,58;
1200000;"MAŁOPOLSKIE";29,11;22,36;13,91;18,47;2,18;3,80;2,77;2,09;8,62;29,07;22,19;14,50;17,83;2,15;3,78;2,79;2,09;8,52;28,64;22,22;14,50;18,11;2,17;3,72;2,75;1,94;8,45;29,77;22,41;15,00;18,53;2,21;3,82;2,71;2,07;8,27;29,84;22,41;0,00;19,09;2,22;3,83;2,73;2,08;8,27;29,18;22,37;0,00;19,06;2,15;3,82;2,76;2,10;8,50;29,23;22,37;0,00;18,71;2,23;3,80;2,72;2,03;8,54;29,49;22,39;0,00;18,59;2,38;3,81;2,75;2,04;8,00;29,43;22,38;0,00;18,52;2,51;3,81;2,67;2,06;8,37;29,19;22,42;15,99;18,44;2,52;3,80;2,79;2,10;8,21;29,83;22,42;17,00;18,53;2,49;3,81;2,72;2,01;8,03;29,38;22,02;13,41;18,11;2,50;3,65;2,68;2,10;7,74;
1400000;"MAZOWIECKIE";31,66;20,43;13,85;19,43;2,19;3,59;2,91;2,00;8,21;31,11;20,02;13,85;19,02;2,20;3,74;2,87;1,92;8,05;30,46;20,86;14,22;18,72;2,21;3,79;2,78;1,92;8,09;30,65;21,00;14,22;18,60;2,25;3,74;2,84;1,92;7,60;30,88;21,37;0,00;18,58;2,25;3,75;2,79;1,92;7,92;30,70;21,07;0,00;18,09;2,22;3,71;2,83;1,92;7,91;30,89;20,34;0,00;17,77;2,36;3,86;2,86;1,87;7,81;30,32;20,43;0,00;17,55;2,38;3,81;2,86;1,87;7,87;30,65;20,31;0,00;17,15;2,43;3,76;2,89;1,87;8,18;30,08;21,16;14,66;17,41;2,51;3,85;2,92;1,89;7,89;30,84;21,24;15,12;17,26;2,49;3,73;2,87;1,86;7,93;31,23;21,91;12,72;17,24;2,51;3,64;2,93;1,92;7,78;
1600000;"OPOLSKIE";31,60;24,91;12,68;19,09;1,88;2,89;2,77;1,97;8,98;32,45;24,51;0,00;19,04;1,92;3,03;2,78;1,97;8,98;32,60;24,51;0,00;18,75;2,01;2,76;2,71;1,97;8,63;31,32;24,54;0,00;19,32;2,05;2,91;2,71;1,97;7,78;31,61;25,96;0,00;17,59;2,03;2,97;2,77;1,90;8,63;30,32;25,77;0,00;17,72;2,00;2,41;2,60;1,97;8,63;30,04;24,78;0,00;17,64;2,08;2,65;2,67;1,97;8,91;30,77;27,46;0,00;17,93;2,23;2,60;2,75;1,93;8,19;31,77;27,46;0,00;16,81;2,35;2,95;2,76;1,97;8,55;30,89;26,61;15,00;17,07;2,36;2,88;2,76;1,97;9,12;31,04;26,60;15,66;16,89;2,38;2,96;2,73;1,93;9,12;29,89;27,43;14,55;16,81;2,38;2,96;2,73;1,97;6,70;
1800000;"PODKARPACKIE";30,67;20,15;13,23;19,18;1,97;3,63;2,82;2,04;8,30;30,86;20,15;14,00;18,52;2,01;3,92;2,81;2,09;8,11;30,25;20,65;14,00;18,17;2,06;3,54;2,77;2,07;8,11;29,91;20,23;13,25;18,22;2,10;3,77;2,74;2,09;7,99;31,21;20,38;0,00;18,30;2,14;3,78;2,77;2,09;8,42;31,57;20,53;0,00;17,93;2,10;3,77;2,69;2,07;8,19;31,93;20,71;0,00;17,24;2,16;3,91;2,69;2,06;8,30;31,44;21,33;0,00;16,67;2,18;3,67;2,84;2,05;7,55;31,62;21,36;0,00;16,96;2,35;3,83;2,81;2,11;7,96;31,54;22,34;15,99;16,98;2,40;3,79;2,73;2,11;8,03;31,19;22,66;15,66;16,18;2,38;3,72;2,72;2,11;8,08;30,55;23,06;13,74;16,41;2,47;3,60;2,75;2,07;7,64;
